experiment_id,script_name,timestamp,git_commit,hostname,device_type,device_name,dataset,dataset_variant,split_name,N,D,K_true,informative_ratio,noise_ratio,noise_sigma,data_seed,run_seed,method,prior_mode,baseline_name,beta,beta_mult,Tsplit,tau_mode,tau,tau_mult,lr,temp_start,temp_end,max_epochs,epochs_completed,final_K,split_count,first_split_epoch,last_split_epoch,split_epochs_json,ari,nmi,f1_feature,acc,selected_dims_count,selected_dims_ratio,mean_phi,median_phi,objective_final,objective_best,objective_gap,nll_final,kl_final,wallclock_total_sec,wallclock_stepA_sec,wallclock_train_sec,wallclock_split_diag_sec,wallclock_post_sec,time_per_epoch_sec,peak_memory_mb,status,timeout_flag,error_message,artifact_dir,split_epochs,prior_mode_name,predictions
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2000__DIVI_p1,run_divi_misspec_robustness_tuned.py,2026-04-02T15:19:58Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21000,2000,DIVI,1,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.9849996249906248,0.9763460183015862,0.8695652173913044,0.995,13,0.13,0.34362658858299255,0.3011201024055481,36825.8125,35138.34765625,1687.46484375,35970.65234375,4.275810241699219,1.327048200000263,0.11491082399970765,0.42185581800004,0.0015914300001895754,0.0010596400002214068,0.0014061860600001334,447.828125,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",informative_kw_llr,"[0 0 2 2 1 0 1 2 0 0 0 2 2 2 0 0 2 2 0 1 0 1 0 0 1 0 1 0 0 0 2 0 2 0 2 2 2
 0 1 2 1 2 2 2 2 1 1 0 0 2 2 0 1 0 0 0 0 0 0 1 2 1 2 1 2 1 1 1 1 0 0 0 2 2
 1 1 1 1 1 1 2 0 2 1 2 1 2 1 2 1 1 1 1 2 1 1 2 0 0 2 1 2 1 2 2 1 0 2 1 0 2
 1 2 2 1 0 0 0 1 0 0 0 0 0 1 1 2 2 1 2 1 0 0 2 1 1 2 2 2 2 2 0 2 0 0 1 0 2
 2 0 1 0 2 1 1 0 1 1 0 0 1 2 2 2 2 2 1 2 2 0 0 2 1 1 1 2 0 1 0 2 0 2 1 1 0
 0 0 0 1 0 1 2 1 0 1 1 2 2 1 0]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2000__DIVI_p2,run_divi_misspec_robustness_tuned.py,2026-04-02T15:19:58Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21000,2000,DIVI,2,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.8984536328383231,0.8713529674253638,0.18181818181818182,0.965,100,1.0,0.6735144853591919,0.670752763748169,33213.453125,29634.095703125,3579.357421875,31959.794921875,6.268281936645508,0.4146986079999806,4.8740000238467474e-05,0.4129535480001323,0.0010551899999882153,0.0009712099999887869,0.0013765118266671076,448.0390625,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",noninformative_uniform,"[0 0 2 2 1 0 1 2 0 0 0 2 2 2 0 0 2 2 0 1 0 1 0 0 1 0 1 0 0 0 2 0 2 0 2 2 2
 0 1 2 1 2 2 2 2 1 1 0 0 2 2 0 1 0 0 0 0 0 0 1 1 1 2 1 2 1 1 1 1 0 0 0 2 2
 1 1 1 1 1 1 2 0 2 1 2 1 2 1 2 1 1 1 1 2 1 1 2 0 0 2 1 2 1 2 2 1 0 2 1 0 2
 1 2 1 1 0 0 0 1 0 0 0 0 0 1 1 2 1 1 2 1 0 0 2 1 2 2 2 1 2 2 0 2 0 0 1 0 2
 2 0 1 0 2 1 1 0 1 1 0 0 1 2 2 2 2 2 1 2 2 0 0 1 1 1 1 2 0 1 0 2 0 2 1 1 0
 0 0 0 1 0 1 2 1 0 1 1 2 2 1 0]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2000__DIVI_p3,run_divi_misspec_robustness_tuned.py,2026-04-02T15:19:58Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21000,2000,DIVI,3,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.5282057256021202,0.5626340464705798,0.07894736842105263,0.795,66,0.66,0.586497962474823,0.676500678062439,34251.03515625,31606.095703125,2644.939453125,33448.2734375,4.013809680938721,0.4204572180001378,5.3079999815963674e-05,0.4191276579999794,0.001291990000026999,0.00093304000029093,0.0013970921933332647,449.0859375,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",random_prior,"[2 2 0 0 1 1 1 0 1 2 2 0 0 0 2 2 0 0 2 1 2 0 2 2 0 2 1 2 2 2 0 2 0 2 0 0 0
 2 1 0 1 0 0 0 0 1 1 2 2 0 0 2 0 2 2 1 1 2 2 1 0 1 0 0 0 1 1 0 1 2 1 2 0 0
 1 0 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 0 2 0 0 0 0 2 1 0 1 0 1 0 0 1 2 0 0 2 0
 1 0 0 1 2 2 2 1 2 2 2 1 1 0 1 0 0 1 0 1 2 2 0 2 0 0 0 0 0 0 1 0 2 2 1 2 0
 0 2 0 2 0 0 0 2 1 1 2 2 1 0 0 0 0 0 1 0 0 1 1 0 1 1 0 0 2 1 2 0 2 0 2 0 1
 2 2 1 0 2 0 0 1 1 1 2 0 0 2 2]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2000__kmeans_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:19:58Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21000,2000,kmeans_oracle,nan,KMeans,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9135071816281082,0.9069378303867457,nan,0.97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,445.7421875,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2000__gmm_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:19:58Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21000,2000,gmm_oracle,nan,GaussianMixtureDiag,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9849996249906248,0.9763460183015862,nan,0.995,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,445.828125,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2001__DIVI_p1,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:00Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21001,2001,DIVI,1,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",1.0,1.0,0.8695652173913044,1.0,13,0.13,0.31074365973472595,0.22835221886634827,37132.7890625,35258.96875,1873.8203125,36299.98046875,4.164038181304932,0.4830345740001576,0.08689508500037846,0.3939030200003799,0.0009491900000284659,0.001805090999823733,0.001313010066667933,450.09375,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",informative_kw_llr,"[0 0 1 0 1 1 2 1 0 1 1 1 0 2 2 0 2 0 2 0 1 1 1 0 0 1 2 0 1 1 0 1 0 1 0 2 1
 0 2 2 1 2 1 2 2 2 2 0 2 0 2 0 1 1 1 1 2 2 0 1 2 1 1 0 2 1 2 2 0 2 0 2 1 0
 2 1 2 0 0 0 2 0 1 2 2 2 1 0 2 2 1 0 0 1 0 1 2 0 2 0 1 0 0 0 1 2 1 1 1 0 1
 2 0 2 0 2 1 2 1 1 2 2 2 1 1 1 2 0 1 0 2 2 1 0 2 1 0 2 0 2 0 0 0 1 0 1 0 0
 2 2 1 0 2 2 0 2 0 2 0 0 2 0 2 1 2 1 1 1 1 0 1 1 0 0 2 1 1 2 0 0 1 1 0 0 0
 2 2 1 1 1 2 1 2 2 2 2 1 0 0 0]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2001__DIVI_p2,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:00Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21001,2001,DIVI,2,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.40145835644944844,0.5324559466507259,0.18181818181818182,0.585,100,1.0,0.6688861846923828,0.6676315665245056,33306.2109375,29727.23046875,3578.98046875,32124.68359375,5.907637596130371,0.3877698600003896,2.10899997910019e-05,0.3865266099996916,0.0009424499999113323,0.0008881100002327003,0.0012884220333323052,448.71484375,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",noninformative_uniform,"[1 1 0 1 0 0 0 0 2 2 2 0 1 0 0 1 0 2 0 1 0 0 2 1 1 0 0 1 2 0 1 0 1 2 2 0 0
 1 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 2 0 2 0 0 1
 0 0 0 2 1 1 0 1 0 0 0 0 0 1 0 0 0 2 1 0 2 0 0 1 0 1 0 1 2 2 0 0 0 2 0 2 0
 0 1 0 2 0 0 0 2 2 0 0 0 0 0 0 0 1 0 1 0 0 0 2 0 0 2 0 1 0 1 1 1 0 2 0 2 2
 0 0 0 1 0 0 1 0 2 0 1 1 0 1 0 0 0 0 1 0 0 1 0 2 1 1 0 0 0 0 1 2 0 2 2 2 1
 0 0 0 2 0 0 0 0 0 0 0 0 1 2 2]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2001__DIVI_p3,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:00Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21001,2001,DIVI,3,DIVI,200.0,1.0,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,300,3,2,120,240,"[120, 240]",0.9848865697285946,0.9763112474994169,0.20454545454545456,0.995,78,0.78,0.6448848247528076,0.6698933839797974,32873.921875,30304.603515625,2569.318359375,32086.29296875,3.9381461143493652,0.3913157400002092,2.064000000245869e-05,0.3901256290000674,0.0009270600003219442,0.0008657899998070206,0.001300418763333558,448.71875,ok,0,,outputs/misspec_robustness_tuned,"[120, 240]",random_prior,"[1 1 2 1 2 2 0 2 1 2 2 2 1 0 0 1 0 1 0 1 2 2 2 1 1 2 0 1 2 2 1 2 1 2 1 0 2
 1 0 0 2 0 2 0 0 0 0 1 0 1 0 1 2 2 2 2 0 0 1 2 0 2 2 1 0 2 0 0 1 0 1 0 2 1
 0 2 0 1 1 1 0 1 2 0 0 0 2 1 0 0 2 1 1 2 2 2 0 1 0 1 2 1 1 1 2 0 2 2 2 1 2
 0 1 0 1 0 2 0 2 2 0 0 0 2 2 2 0 1 2 1 0 0 2 1 0 2 1 0 1 0 1 1 1 2 1 2 1 1
 0 0 2 1 0 0 1 0 1 0 1 1 0 1 0 2 0 2 2 2 2 1 2 2 1 1 0 2 2 0 1 1 2 2 1 1 1
 0 0 2 2 2 0 2 0 0 0 0 2 1 1 1]"
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2001__kmeans_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:00Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21001,2001,kmeans_oracle,nan,KMeans,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],0.9267055449243874,0.8947273247517562,nan,0.975,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448.71875,ok,0,,outputs/misspec_robustness_tuned
misspec_tuned__t_df5_noise3__heavy_tail_signal__seed2001__gmm_oracle,run_divi_misspec_robustness_tuned.py,2026-04-02T15:20:00Z,unknown,local,cpu,x86_64,synthetic_heavy_tail_signal,t_df5_noise3,heavy_tail_signal,200,100,3,0.1,0.9,3.0,21001,2001,gmm_oracle,nan,GaussianMixtureDiag,nan,nan,120,manual_mult_auto,141.89385332046726,1.0,0.01,1.0,0.1,300,nan,3,0,nan,nan,[],1.0,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,448.71875,ok,0,,outputs/misspec_robustness_tuned
